,absolutely,acne,actually,adovia,affordable,amazing,application,apply,argan,art,average,away,awesome,axe,bad,bar,base,beautiful,beauty,best,better,big,bit,black,blush,body,bottle,bought,brand,brush,brushes,buy,care,cheap,clay,clean,cleans,cleanser,cleansing,clear,coat,color,colors,concealer,conditioner,cool,coverage,cream,creamy,cute,daily,dark,daughter,day,days,dead,deal,decent,deep,definitely,designs,did,didn,difference,different,disappointed,disposable,does,doesn,don,dont,dotting,dove,dry,dryer,drying,easy,effective,exactly,excellent,expected,expensive,eye,eyelashes,eyes,eyeshadow,fabulous,face,facial,fantastic,far,fast,favorite,feel,feeling,feels,finally,fine,flat,foundation,fragrance,free,fresh,frizz,fun,gel,gems,gentle,gets,gives,goes,good,gorgeous,got,greasy,great,hair,hands,happy,hard,heavy,helps,high,home,horrible,hot,hype,impressed,inexpensive,iron,item,job,just,kids,know,lashes,lasting,lasts,leave,leaves,left,light,lightweight,like,liked,line,little,long,look,looking,looks,lot,lotion,lots,love,loved,lovely,loves,make,makes,makeup,mascara,mask,meh,men,mild,mineral,miracle,moisture,moisturizer,moisturizing,money,moroccan,mud,nail,nails,natural,need,needs,new,nice,night,non,nyx,oil,oily,ok,okay,olay,old,opi,palette,pay,perfect,pink,plates,pleasant,pleased,polish,powder,pretty,price,primer,product,products,professional,protection,purchase,pure,quality,quick,quickly,razor,real,really,recommend,red,refreshing,results,review,rhinestones,right,salon,say,says,scalp,scent,scrub,sea,sensitive,serum,set,shadow,shampoo,shany,shave,shine,shiny,silky,simple,simply,size,skin,small,smell,smells,smooth,soap,soft,soothing,spf,spray,stamper,stamping,stars,sticky,straightener,strong,stuff,suave,summer,sun,sunscreen,super,sure,surprised,tape,texture,thing,think,time,toner,tool,tools,treatment,tried,try,use,used,uses,using,value,variety,ve,vitamin,wash,waste,way,wen,white,wife,wipes,wonderful,work,worked,working,works,worth,wow,yes
10,0,5,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,20,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,22,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,6,0,6,0,0,0,0,2,6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,0,0,0,0,0,0,0,0,2,0,0,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,1
11,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,4,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,6,0,0,0,14,0,1,1,0,0,2,0,5,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,1,0,1,2,0,0,19,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,5,0,0,0,2,0,2,3,10,1,0,0,0,0,0,0,0,0,1,0,0,2,0,14,0,0,0,0,0,1,0,0,0,1,8,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,8,3,4,0
12,1,0,1,0,1,4,0,0,0,0,1,0,4,0,2,0,0,0,0,10,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,28,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,0,27,23,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,1,2,2,0,0,0,4,0,0,1,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,7,0,4,0,0,0,3,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,2,0,1,2,2,3,9,1,0,0
13,2,0,0,0,0,11,2,5,0,0,0,1,5,0,0,0,0,1,16,17,3,2,0,0,0,0,0,2,0,3,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,3,1,0,0,0,0,0,2,0,0,4,0,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0,1,0,0,0,2,0,0,0,10,1,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,2,1,0,0,27,0,0,0,4,1,11,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,3,0,0,0,0,0,3,2,0,0,0,0,0,3,1,0,0,0,0,0,2,4,0,10,1,0,0,0,0,2,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,1,0,8,0,0,1,1,0,3,0,1,0,0,4,0,0,1,4,0,0,0,0,1,0,0,0,7,8,5,1
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,0,0,2,0,0,5,0,1,0,0,0,0,1,1,0,0,1,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,1,22,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,1,20,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,2,8,3,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,20,1,1,2,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,0,0,1,0,2,0,10,0,2,0,0,0,0,0,1,0,1,4,0,1,0
15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,7,0,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,6,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,2,2,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1,4,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,0
16,0,9,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,2,1,0,0,10,0,1,0,15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,11,0,3,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,8,1,1,2
17,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,1,0,7,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,4,0,1,0,0,20,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,1,0,0,12,2,0,0
18,1,0,0,0,0,9,0,0,0,0,1,0,5,0,0,0,0,0,0,11,3,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4,3,0,2,0,4,0,1,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,4,1,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,14,0,1,2,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,13,2,0,0,0,5,0,1,3,0,0,0,0,0,0,0,18,0,0,1,0,2,0,0,0,2,0,0,0,16,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,36,1,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,7,1,0,5,0,0,5,0,0,0,0,0,1,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,4,2,2,0
19,0,2,0,0,3,4,0,1,0,0,0,0,2,0,1,0,0,0,2,10,1,2,0,0,0,4,2,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,2,1,0,1,2,0,0,0,3,0,2,0,0,0,2,3,3,0,0,0,2,0,0,0,3,0,6,1,0,0,0,3,0,2,13,13,1,1,0,3,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,18,0,0,2,33,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,2,0,4,2,8,0,0,4,1,0,0,0,0,2,0,16,0,1,0,1,1,0,0,0,0,0,0,0,0,2,45,2,0,0,0,0,0,0,0,1,1,8,2,0,0,0,3,6,4,0,1,0,0,0,3,0,0,0,2,0,0,1,9,0,15,1,0,0,0,0,1,0,0,0,0,6,0,0,1,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,24,0,2,3,4,0,4,0,0,0,0,0,2,0,0,0,8,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,5,1,1,1,4,0,4,0
